Date,Close,High,Low,Open,Volume,day_of_week,month,year,is_month_start,is_month_end,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_middle,BB_std,BB_upper,BB_lower,daily_return,volatility_5d,volatility_20d,momentum_5d,momentum_20d,future_price_5d,future_return_5d,price_up_5d
2020-03-24,33.66666793823242,34.24599838256836,31.600000381469727,31.81999969482422,343428000,1,3,2020,0,0,,,,33.66666793823242,33.66666793823242,0.0,0.0,,,,,,,,,,,34.93333435058594,0.03762375340135948,1
2020-03-25,35.95000076293945,37.133331298828125,34.07400131225586,36.349998474121094,318340500,2,3,2020,0,0,,,,34.017949911264274,33.83580370302553,0.18214620823874128,0.03642924164774826,,,,,,0.06782176450892674,,,,,32.104000091552734,-0.10698193573757941,0
2020-03-26,35.21066665649414,37.33333206176758,34.150001525878906,36.49266815185547,260710500,3,3,2020,0,0,,,,34.20144479514579,33.93764540328247,0.2637993918633228,0.08190327169086317,,,,,,-0.020565621439638027,,,,,30.29800033569336,-0.13952210472830406,0
2020-03-27,34.29066848754883,35.0533332824707,32.935333251953125,33.66666793823242,215661000,4,3,2020,0,0,,,,34.215171517053946,33.96379526137627,0.25137625567767685,0.11579786848822592,,,,,,-0.026128393930185068,,,,,32.000667572021484,-0.0667820435276395,0
2020-03-30,33.47533416748047,34.44333267211914,32.7486686706543,34.017333984375,179971500,0,3,2020,0,0,34.51866760253906,,,34.10135038635033,33.927612958124726,0.173737428225607,0.12738578043570215,,,,,,-0.02377714859552571,,,,,34.41600036621094,0.028100278074125296,1
2020-03-31,34.93333435058594,36.19733428955078,33.133331298828125,33.41666793823242,266572500,1,3,2020,0,1,34.77200088500977,,,34.22934791930965,34.00211083904778,0.2272370802618724,0.1473560404009362,,,,,,0.04355446239344318,0.04425248199427062,,0.03762375340135948,,36.36333465576172,0.04093512204774119,1
2020-04-01,32.104000091552734,34.26333236694336,31.67333221435547,33.599998474121094,200298000,2,4,2020,1,0,34.00280075073242,,,33.902371330423975,33.861510042937034,0.04086128748694051,0.12605708981813707,,,,,,-0.08099239055277141,0.0441556186659842,,-0.10698193573757941,,36.589332580566406,0.13971257401640313,1
2020-04-02,30.29800033569336,32.95066833496094,29.760000228881836,32.068668365478516,297876000,3,4,2020,0,0,33.020267486572266,,,33.34785271585003,33.59754636091898,-0.24969364506895175,0.05090694284071931,,,,,,-0.05625466454987249,0.046758172231089856,,-0.13952210472830406,,38.20000076293945,0.2608093055546288,1
2020-04-03,32.000667572021484,34.36600112915039,31.22599983215332,33.96666717529297,338431500,4,4,2020,0,0,32.5622673034668,,,33.14059346295333,33.479259043222875,-0.3386655802695415,-0.027007561781332855,,,,,,0.05619734693587186,0.06040277133766124,,-0.0667820435276395,,43.39666748046875,0.3561175679475794,1
2020-04-06,34.41600036621094,34.733333587646484,33.19733428955078,34.08000183105469,223527000,0,4,2020,0,0,32.75040054321289,,,33.33680990960835,33.54864728937014,-0.21183737976178918,-0.06397352537742412,,,,,,0.0754775752334993,0.07104192512342325,,0.028100278074125296,,47.32600021362305,0.37511621658648453,1
2020-04-07,36.36333465576172,37.66666793823242,35.48933410644531,36.33333206176758,268797000,1,4,2020,0,0,33.036400604248044,,,33.80242910132425,33.75714264984359,0.04528645148066346,-0.04212153000580661,,,,,,0.05658223700690801,0.07290491097658634,,0.04093512204774119,,48.65533447265625,0.3380327996114316,1
2020-04-08,36.589332580566406,37.14733123779297,35.55533218383789,36.9466667175293,189840000,2,4,2020,0,0,33.933467102050784,,,34.23118348274612,33.966934496563795,0.2642489861823236,0.019152573231819438,,,,,,0.006214994497730331,0.05347652356580062,,0.13971257401640313,,49.680667877197266,0.3577910383526379,1
2020-04-09,38.20000076293945,38.345333099365234,37.14066696166992,37.4726676940918,204750000,3,4,2020,0,0,35.5138671875,,,34.84177075662202,34.280494960739766,0.5612757958822527,0.12757721776190611,,,,,,0.04402015748241661,0.025774210151341535,,0.2608093055546288,,50.259334564208984,0.31568936022035765,1
2020-04-13,43.39666748046875,43.46666717529297,38.70199966430664,39.34400177001953,337131000,0,4,2020,0,0,37.793067169189456,,,36.1579087141369,34.95576699923821,1.2021417148986941,0.34249011718926375,70.31315079808402,,,,,0.13603839302984921,0.04773372350785963,,0.3561175679475794,,49.75733184814453,0.14657034138712333,1
