Date,Close,High,Low,Open,Volume,day_of_week,month,year,is_month_start,is_month_end,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_middle,BB_std,BB_upper,BB_lower,daily_return,volatility_5d,volatility_20d,momentum_5d,momentum_20d,future_price_10d,future_return_10d,price_up_10d
2020-04-10,6865.4931640625,7303.8154296875,6802.47509765625,7303.8154296875,43622840992,4,4,2020,0,0,7189.975390625,,,6941.204908372673,6817.7911602450895,123.41374812758386,61.582655327753386,56.840202462085635,,,,,-0.05979058460566089,0.047984708347528354,,0.010950132917675548,,6881.95849609375,0.0023982737492824757,1
2020-04-11,6859.0830078125,6926.06982421875,6789.9208984375,6867.4404296875,31222085946,5,4,2020,0,0,7107.4357421875,,,6928.570769824954,6820.849815620453,107.72095420450114,70.81031510310294,61.54692906957848,,,,,-0.0009336774645052337,0.03007174706457898,,-0.05675339067542773,,6880.3232421875,0.00309665801548209,1
2020-04-12,6971.091796875,7119.947265625,6811.078125,6858.06787109375,35759567632,6,4,2020,0,0,7066.37119140625,6760.366259765625,,6935.112466294192,6831.978851268938,103.13361502525368,77.2749750875331,71.29543358610228,6760.366259765625,358.18779012762917,7476.7418400208835,6043.990679510366,0.016329994685138294,0.032406773109745726,,-0.028610771082601127,,7117.20751953125,0.020960235055540455,1
2020-04-13,6845.03759765625,6965.61669921875,6668.259765625,6965.61669921875,38619308647,0,4,2020,0,0,6968.558984375,6765.877954101563,,6921.2547941960465,6832.946165816146,88.30862837990026,79.48170574600653,59.9742456627824,6765.877954101563,358.62159965200664,7483.1211534055765,6048.634754797549,-0.018082418492216368,0.02870073759086867,0.03595031889553386,-0.06668318216613667,0.0163677950316099,7429.724609375,0.08541764794965445,1
2020-04-14,6842.427734375,6958.55712890625,6793.8212890625,6843.28173828125,34110434052,1,4,2020,0,0,6876.62666015625,6773.94619140625,,6909.127554223578,6833.648504227913,75.47904999566526,78.68117459593827,59.729028918327494,6773.94619140625,358.42814330666744,7490.802478019586,6057.089904792915,-0.0003812781513637953,0.0290660841476069,0.03588587171116409,-0.0629493284342646,0.02415255572006836,7550.90087890625,0.10354119503111758,1
2020-04-15,6642.10986328125,6928.66455078125,6633.40283203125,6845.5615234375,32288311031,2,4,2020,0,0,6831.95,6770.229663085937,,6868.04790946322,6819.460456750382,48.58745271283806,72.66243021931824,50.838346482253534,6770.229663085937,359.43973929455007,7489.109141675038,6051.350184496837,-0.029275847531044064,0.01762468506301734,0.03653528170207777,-0.032537109198586434,-0.011066958336695687,7569.93603515625,0.13968847112936,1
2020-04-16,7116.80419921875,7134.45068359375,6555.50439453125,6640.4541015625,46783242377,3,4,2020,0,0,6883.49423828125,6802.5799560546875,,6906.318107887148,6841.485919155446,64.83218873170154,71.0963819217949,56.7464629262153,6802.5799560546875,360.0925098612922,7522.764975777272,6082.394936332103,0.07146740203164859,0.03948900622239466,0.03874377873502941,0.037573709359211005,0.10000402259688146,7679.8671875,0.07911739209335855,1
2020-04-17,7096.1845703125,7167.18310546875,7050.33203125,7116.552734375,32513423567,4,4,2020,0,0,6908.51279296875,6845.2794921875,,6935.528332875663,6860.352485907821,75.17584696784252,71.91227493100443,57.70086951402608,6845.2794921875,340.2299353157538,7525.7393628190075,6164.819621555993,-0.002897315751431484,0.03941254931824221,0.037616819786019405,0.017944502393954398,0.13680938841348178,7795.60107421875,0.09856233261354541,1
2020-04-18,7257.6650390625,7269.95654296875,7089.2470703125,7092.29150390625,32447188386,5,4,2020,0,0,6991.03828125,6912.060595703125,,6985.087826135176,6889.78304540076,95.30478073441645,76.59077609168685,58.18619059699002,6912.060595703125,274.137270084803,7460.3351358727305,6363.786055533519,0.02275595669052466,0.03784979229270745,0.035130076346180955,0.06028125273519813,0.22553400530196033,7807.05859375,0.07569838945866625,1
2020-04-19,7189.4248046875,7280.52197265625,7167.0546875,7260.92236328125,31311210215,6,4,2020,0,0,7060.4376953125,6950.03974609375,,7016.524284373995,6911.978731273852,104.54555310014348,82.18173149337818,58.38607168742515,6950.03974609375,255.81873016236665,7461.677206418483,6438.402285769017,-0.009402505352301915,0.038810256562766765,0.030595647381642055,0.05071256632631371,0.11813401197237372,8801.0380859375,0.2241644255322386,1
